key,sku,unitPrice,name
residential|panel|Bellbrae|Bellbrae|white|1.2,Bellbrae-White-1.2m,262.15,Panel of White Bellbrae Screen Fence @ 1.2m
residential|panel|Bellbrae|Bellbrae|white|1.4,Bellbrae-White-1.4m,276.06,Panel of White Bellbrae Screen Fence @ 1.4m
residential|panel|Bellbrae|Bellbrae|white|1.6,Bellbrae-White-1.6m,303.88,Panel of White Bellbrae Screen Fence @ 1.6m
residential|panel|Bellbrae|Bellbrae|white|1.8,Bellbrae-White-1.8m,345.61,Panel of White Bellbrae Screen Fence @ 1.8m
residential|panel|Bellbrae|Bellbrae|colour|1.8,Bellbrae-Colour-1.8m,450.0,Panel of Colour Bellbrae Screen Fence @ 1.8m
residential|panel|Bellbrae|Bellbrae|colour|1.6,Bellbrae-Colour-1.6m,393.0,Panel of Colour Bellbrae Screen Fence @ 1.6m
residential|panel|Bellbrae|Bellbrae|colour|0.9,Bellbrae-Colour-0.9m,279.0,Panel of Colour Bellbrae Screen Fence @ 0.9m
residential|panel|Bellbrae|Bellbrae|colour|1.2,Bellbrae-Colour-1.2m,359.52,Panel of DELUX Bellbrae Screen Fence @ 1.2m
residential|panel|Bellbrae|Bellbrae|colour|1.4,Bellbrae-Colour-1.4m,379.85,Panel of Colour Bellbrae Screen Fence @ 1.4m
residential|panel|Jabiru|Jabiru|white|0.9,Picket-Jabiru-White-0.9m,180.9,Panel of White Jabiru Picket Fencing @ 0.9m
residential|panel|Jabiru|Jabiru|white|1.2,Picket-Jabiru-White-1.2m,204.0,Panel of White Jabiru Picket Fencing @ 1.2m
residential|panel|Jabiru|Jabiru|white|1.4,Picket-Jabiru-White-1.4m,220.0,Panel of White Jabiru Picket Fencing @ 1.4m
residential|panel|Jabiru|Jabiru|white|1.6,Picket-Jabiru-White-1.6m,303.88,Panel of White Jabiru Picket fencing @ 1.6m
residential|panel|Jabiru|Jabiru|white|1.8,Picket-Jabiru-White-1.8m,321.0,Panel of White Jabiru Picket Fencing @ 1.8m
residential|panel|Jabiru|Jabiru|colour|1.4,Picket-Jabiru-Colour-1.4m,302.0,Panel of Colour Jabiru Picket Fencing @ 1.4m
residential|panel|Jabiru|Jabiru|colour|0.9,Picket-Jabiru-Colour-0.9m,243.0,Panel of Colour Jabiru Picket Fencing @ 0.9m
residential|panel|Jabiru|Jabiru|colour|1.2,Picket-Jabiru-Colour-1.2m,297.46,Panel of Colour Jabiru Picket Fencing @ 1.2m
residential|panel|Jabiru|Jabiru|colour|1.8,Picket-Jabiru-Colour-1.8m,437.63,Panel of Colour Jabiru Picket Fencing @ 1.8m
residential|panel|Kestrel|Kestrel|white|1.2,Picket-Kestrel-White-1.2m,253.59,Panel of White Kestrel Picket Fencing @ 1.2m
residential|panel|Kestrel|Kestrel|white|0.9,Picket-Kestrel-White-0.9m,224.7,Panel of White Kestrel Picket Fencing @ 0.9m
residential|panel|Kestrel|Kestrel|white|1.4,Picket-Kestrel-White-1.4m,272.85,Panel of White Kestrel Picket Fencing @ 1.4m
